path,classification,area,tracked_type,distribution,disposition_rationale
tests/test_kdf_functions.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_kem_negotiation.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_key_management.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_key_manager_class.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_keystore_cli_capabilities.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_keystore_migrate.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_keystore_plugins.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_local_add_key.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_migrate_keys.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_migration_oneshot_to_pipeline.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_mypy_plugin.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_no_new_oneshot.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_nonce_manager.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_operations_hardening.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_optional_features_missing.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_otp.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_otp_vectors.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_package_init.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_pake.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_pipeline.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_pipeline_export.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_pipeline_property.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_pipeline_roundtrip_property.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_pkcs11_keystore.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_pqc.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_pqc_stubs.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_public_api.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_readme_snippet.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_release_lint.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_root_exports.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_rsa_property.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_secret_output_redaction.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_secret_sharing.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_signal_protocol.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_signatures.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_stream_ciphers.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_strict_key_policy.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_utils.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_verbose.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_verbose_logging.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_verify_artifact.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_viz.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_x3dh.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_x509.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_xchacha.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_zeroize.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_zeroize_proc_mem.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_zeroize_pypy.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_zksnark.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tests/test_zksnark_stub.py,test/tooling,tests,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/__init__.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/bump_changelog.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/check_coverage_thresholds.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/check_deprecated_exports.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/check_experimental_imports.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/generate_public_api_table.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/generate_sbom.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/generate_support_matrix.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/release_lint.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/reproducible_build.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/sync_check.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/verify_artifact.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/verify_docs_references.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tools/vulture_whitelist.py,test/tooling,tooling,.py,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
tox.ini,test/tooling,repository-root,.ini,source-checkout-only,"Build, test, CI, packaging, analysis, or maintainer support; not stable runtime API."
